County,State,FIPS,Apr11_Cases,Apr11_Deaths
Autauga,Alabama,1001,19,1
Baldwin,Alabama,1003,66,1
Barbour,Alabama,1005,10,0
Bibb,Alabama,1007,13,0
Blount,Alabama,1009,12,0
Bullock,Alabama,1011,4,0
Butler,Alabama,1013,6,0
Calhoun,Alabama,1015,57,0
Chambers,Alabama,1017,184,8
Cherokee,Alabama,1019,7,0
Chilton,Alabama,1021,30,0
Choctaw,Alabama,1023,9,0
Clarke,Alabama,1025,15,0
Clay,Alabama,1027,12,0
Cleburne,Alabama,1029,12,0
Coffee,Alabama,1031,20,0
Colbert,Alabama,1033,8,1
Conecuh,Alabama,1035,3,0
Coosa,Alabama,1037,11,0
Covington,Alabama,1039,11,0
Crenshaw,Alabama,1041,2,0
Cullman,Alabama,1043,31,1
Dale,Alabama,1045,6,0
Dallas,Alabama,1047,10,0
DeKalb,Alabama,1049,21,0
Elmore,Alabama,1051,30,0
Escambia,Alabama,1053,8,0
Etowah,Alabama,1055,74,7
Fayette,Alabama,1057,3,0
Franklin,Alabama,1059,8,0
Greene,Alabama,1063,14,0
Hale,Alabama,1065,11,0
Henry,Alabama,1067,10,0
Houston,Alabama,1069,37,1
Jackson,Alabama,1071,22,2
Jefferson,Alabama,1073,579,15
Lamar,Alabama,1075,7,0
Lauderdale,Alabama,1077,21,4
Lawrence,Alabama,1079,8,0
Lee,Alabama,1081,221,8
Limestone,Alabama,1083,36,0
Lowndes,Alabama,1085,14,0
Macon,Alabama,1087,12,1
Madison,Alabama,1089,186,3
Marengo,Alabama,1091,19,1
Marion,Alabama,1093,42,3
Marshall,Alabama,1095,84,2
Mobile,Alabama,1097,429,15
Monroe,Alabama,1099,6,1
Montgomery,Alabama,1101,106,4
Morgan,Alabama,1103,37,0
Perry,Alabama,1105,4,0
Pickens,Alabama,1107,21,0
Pike,Alabama,1109,18,0
Randolph,Alabama,1111,27,4
Russell,Alabama,1113,22,0
St. Clair,Alabama,1115,39,0
Shelby,Alabama,1117,196,5
Sumter,Alabama,1119,19,0
Talladega,Alabama,1121,32,0
Tallapoosa,Alabama,1123,62,4
Tuscaloosa,Alabama,1125,100,0
Walker,Alabama,1127,78,0
Washington,Alabama,1129,12,1
Wilcox,Alabama,1131,25,0
Winston,Alabama,1133,4,0
Apache,Arizona,4001,66,3
Cochise,Arizona,4003,13,0
Coconino,Arizona,4005,238,15
Gila,Arizona,4007,3,0
Graham,Arizona,4009,2,0
Greenlee,Arizona,4011,2,0
La Paz,Arizona,4012,4,0
Maricopa,Arizona,4013,1891,47
Mohave,Arizona,4015,30,2
Navajo,Arizona,4017,321,7
Pima,Arizona,4019,591,29
Pinal,Arizona,4021,146,3
Santa Cruz,Arizona,4023,8,0
Yavapai,Arizona,4025,63,1
Yuma,Arizona,4027,15,0
Arkansas,Arkansas,5001,2,0
Ashley,Arkansas,5003,10,0
Baxter,Arkansas,5005,4,0
Benton,Arkansas,5007,47,0
Boone,Arkansas,5009,3,0
Bradley,Arkansas,5011,6,0
Carroll,Arkansas,5015,2,0
Chicot,Arkansas,5017,5,0
Clark,Arkansas,5019,27,0
Clay,Arkansas,5021,1,0
Cleburne,Arkansas,5023,69,4
Cleveland,Arkansas,5025,8,0
Columbia,Arkansas,5027,3,0
Conway,Arkansas,5029,4,1
Craighead,Arkansas,5031,31,0
Crawford,Arkansas,5033,3,0
Crittenden,Arkansas,5035,89,2
Cross,Arkansas,5037,6,0
Dallas,Arkansas,5039,1,0
Desha,Arkansas,5041,6,0
Drew,Arkansas,5043,6,1
Faulkner,Arkansas,5045,57,1
Franklin,Arkansas,5047,1,0
Garland,Arkansas,5051,72,0
Grant,Arkansas,5053,9,0
Greene,Arkansas,5055,6,0
Hempstead,Arkansas,5057,4,1
Hot Spring,Arkansas,5059,8,0
Howard,Arkansas,5061,6,0
Independence,Arkansas,5063,5,0
Izard,Arkansas,5065,1,0
Jefferson,Arkansas,5069,91,2
Johnson,Arkansas,5071,13,0
Lafayette,Arkansas,5073,2,0
Lawrence,Arkansas,5075,10,1
Lee,Arkansas,5077,2,0
Lincoln,Arkansas,5079,10,0
Logan,Arkansas,5083,2,0
Lonoke,Arkansas,5085,27,0
Madison,Arkansas,5087,1,0
Marion,Arkansas,5089,1,0
Miller,Arkansas,5091,22,0
Mississippi,Arkansas,5093,7,0
Monroe,Arkansas,5095,1,0
Nevada,Arkansas,5099,1,0
Newton,Arkansas,5101,1,0
Ouachita,Arkansas,5103,5,0
Perry,Arkansas,5105,2,0
Phillips,Arkansas,5107,3,0
Pike,Arkansas,5109,2,0
Poinsett,Arkansas,5111,7,0
Polk,Arkansas,5113,6,0
Pope,Arkansas,5115,26,0
Prairie,Arkansas,5117,2,0
Pulaski,Arkansas,5119,249,9
Randolph,Arkansas,5121,8,0
St. Francis,Arkansas,5123,31,0
Saline,Arkansas,5125,32,1
Scott,Arkansas,5127,1,0
Searcy,Arkansas,5129,6,0
Sebastian,Arkansas,5131,10,0
Sevier,Arkansas,5133,6,0
Sharp,Arkansas,5135,2,0
Stone,Arkansas,5137,7,0
Union,Arkansas,5139,18,0
Van Buren,Arkansas,5141,26,2
Washington,Arkansas,5143,37,0
White,Arkansas,5145,28,0
Woodruff,Arkansas,5147,1,0
Yell,Arkansas,5149,1,0
Alameda,California,6001,827,21
Alpine,California,6003,2,0
Amador,California,6005,6,0
Butte,California,6007,14,0
Calaveras,California,6009,8,0
Colusa,California,6011,3,0
Contra Costa,California,6013,530,11
Del Norte,California,6015,2,0
El Dorado,California,6017,32,0
Fresno,California,6019,201,5
Glenn,California,6021,3,0
Humboldt,California,6023,50,0
Imperial,California,6025,87,2
Inyo,California,6027,12,0
Kern,California,6029,369,3
Kings,California,6031,10,1
Lake,California,6033,4,0
Los Angeles,California,6037,8873,265
Madera,California,6039,32,2
Marin,California,6041,153,10
Mendocino,California,6045,4,0
Merced,California,6047,64,3
Mono,California,6051,21,1
Monterey,California,6053,82,3
Napa,California,6055,35,2
Nevada,California,6057,34,1
Orange,California,6059,1221,18
Placer,California,6061,124,4
Plumas,California,6063,4,0
Riverside,California,6065,1431,41
Sacramento,California,6067,699,26
San Benito,California,6069,35,2
San Bernardino,California,6071,810,25
San Diego,California,6073,1761,45
San Francisco,California,6075,860,13
San Joaquin,California,6077,260,15
San Luis Obispo,California,6079,110,1
San Mateo,California,6081,652,21
Santa Barbara,California,6083,264,2
Santa Clara,California,6085,1566,52
Santa Cruz,California,6087,82,1
Shasta,California,6089,24,3
Siskiyou,California,6093,5,0
Solano,California,6095,126,2
Sonoma,California,6097,145,2
Stanislaus,California,6099,121,2
Sutter,California,6101,22,2
Tehama,California,6103,1,0
Tulare,California,6107,227,11
Tuolumne,California,6109,1,0
Ventura,California,6111,309,10
Yolo,California,6113,88,3
Yuba,California,6115,15,1
Adams,Colorado,8001,593,25
Alamosa,Colorado,8003,7,2
Arapahoe,Colorado,8005,998,37
Archuleta,Colorado,8007,6,0
Baca,Colorado,8009,10,0
Boulder,Colorado,8013,246,8
Broomfield,Colorado,8014,74,2
Chaffee,Colorado,8015,28,3
Clear Creek,Colorado,8019,11,0
Costilla,Colorado,8023,3,0
Crowley,Colorado,8025,2,1
Custer,Colorado,8027,2,0
Delta,Colorado,8029,6,1
Denver,Colorado,8031,1182,46
Douglas,Colorado,8035,292,10
Eagle,Colorado,8037,433,5
Elbert,Colorado,8039,14,1
El Paso,Colorado,8041,578,35
Fremont,Colorado,8043,6,0
Garfield,Colorado,8045,54,2
Gilpin,Colorado,8047,1,0
Grand,Colorado,8049,4,0
Gunnison,Colorado,8051,102,3
Hinsdale,Colorado,8053,1,0
Huerfano,Colorado,8055,1,0
Jefferson,Colorado,8059,713,25
Kit Carson,Colorado,8063,7,0
Lake,Colorado,8065,4,0
La Plata,Colorado,8067,43,0
Larimer,Colorado,8069,180,9
Las Animas,Colorado,8071,2,0
Lincoln,Colorado,8073,1,0
Logan,Colorado,8075,13,0
Mesa,Colorado,8077,34,0
Mineral,Colorado,8079,2,0
Moffat,Colorado,8081,3,0
Montezuma,Colorado,8083,11,2
Montrose,Colorado,8085,50,4
Morgan,Colorado,8087,56,0
Otero,Colorado,8089,5,0
Ouray,Colorado,8091,4,1
Park,Colorado,8093,6,0
Phillips,Colorado,8095,4,0
Pitkin,Colorado,8097,49,2
Prowers,Colorado,8099,1,0
Pueblo,Colorado,8101,53,3
Rio Blanco,Colorado,8103,1,0
Rio Grande,Colorado,8105,5,0
Routt,Colorado,8107,35,1
Saguache,Colorado,8109,3,0
San Miguel,Colorado,8113,12,0
Summit,Colorado,8117,68,0
Teller,Colorado,8119,12,2
Washington,Colorado,8121,2,0
Weld,Colorado,8123,683,44
Yuma,Colorado,8125,2,0
Fairfield,Connecticut,9001,5407,220
Hartford,Connecticut,9003,1832,101
Litchfield,Connecticut,9005,388,20
Middlesex,Connecticut,9007,290,18
New Haven,Connecticut,9009,2715,107
New London,Connecticut,9011,185,7
Tolland,Connecticut,9013,171,15
Windham,Connecticut,9015,66,1
Kent,Delaware,10001,255,4
New Castle,Delaware,10003,807,19
Sussex,Delaware,10005,404,10
District of Columbia,District of Columbia,11001,1778,47
Alachua,Florida,12001,174,0
Baker,Florida,12003,17,2
Bay,Florida,12005,36,1
Bradford,Florida,12007,24,0
Brevard,Florida,12009,123,3
Broward,Florida,12011,2844,76
Calhoun,Florida,12013,5,0
Charlotte,Florida,12015,112,5
Citrus,Florida,12017,67,6
Clay,Florida,12019,161,8
Collier,Florida,12021,352,4
Columbia,Florida,12023,25,0
DeSoto,Florida,12027,20,3
Dixie,Florida,12029,2,0
Duval,Florida,12031,639,13
Escambia,Florida,12033,210,3
Flagler,Florida,12035,46,1
Franklin,Florida,12037,2,0
Gadsden,Florida,12039,13,0
Gilchrist,Florida,12041,4,0
Glades,Florida,12043,4,1
Gulf,Florida,12045,1,0
Hamilton,Florida,12047,2,0
Hardee,Florida,12049,3,0
Hendry,Florida,12051,16,0
Hernando,Florida,12053,69,2
Highlands,Florida,12055,54,5
Hillsborough,Florida,12057,698,15
Holmes,Florida,12059,2,0
Indian River,Florida,12061,72,1
Jackson,Florida,12063,6,0
Jefferson,Florida,12065,9,0
Lafayette,Florida,12067,1,0
Lake,Florida,12069,150,4
Lee,Florida,12071,597,16
Leon,Florida,12073,112,0
Levy,Florida,12075,7,0
Liberty,Florida,12077,1,0
Madison,Florida,12079,14,0
Manatee,Florida,12081,221,13
Marion,Florida,12083,83,2
Martin,Florida,12085,117,3
Miami-Dade,Florida,12086,6757,93
Monroe,Florida,12087,59,3
Nassau,Florida,12089,33,0
Okaloosa,Florida,12091,90,1
Okeechobee,Florida,12093,5,0
Orange,Florida,12095,922,12
Osceola,Florida,12097,317,5
Palm Beach,Florida,12099,1499,80
Pasco,Florida,12101,150,2
Pinellas,Florida,12103,446,12
Polk,Florida,12105,244,8
Putnam,Florida,12107,34,1
St. Johns,Florida,12109,170,2
St. Lucie,Florida,12111,149,6
Santa Rosa,Florida,12113,106,3
Sarasota,Florida,12115,223,12
Seminole,Florida,12117,242,2
Sumter,Florida,12119,108,9
Suwannee,Florida,12121,67,0
Taylor,Florida,12123,1,0
Union,Florida,12125,2,0
Volusia,Florida,12127,195,7
Wakulla,Florida,12129,7,0
Walton,Florida,12131,30,0
Washington,Florida,12133,5,0
Appling,Georgia,13001,9,0
Atkinson,Georgia,13003,2,0
Bacon,Georgia,13005,14,0
Baker,Georgia,13007,13,2
Baldwin,Georgia,13009,47,1
Banks,Georgia,13011,7,0
Barrow,Georgia,13013,51,3
Bartow,Georgia,13015,211,15
Ben Hill,Georgia,13017,8,0
Berrien,Georgia,13019,6,0
Bibb,Georgia,13021,62,1
Bleckley,Georgia,13023,1,0
Brantley,Georgia,13025,7,1
Brooks,Georgia,13027,18,1
Bryan,Georgia,13029,28,1
Bulloch,Georgia,13031,16,1
Burke,Georgia,13033,28,1
Butts,Georgia,13035,28,0
Calhoun,Georgia,13037,41,2
Camden,Georgia,13039,20,0
Candler,Georgia,13043,4,0
Carroll,Georgia,13045,204,5
Catoosa,Georgia,13047,12,0
Charlton,Georgia,13049,2,0
Chatham,Georgia,13051,146,5
Chattahoochee,Georgia,13053,3,0
Chattooga,Georgia,13055,6,1
Cherokee,Georgia,13057,186,7
Clarke,Georgia,13059,82,11
Clay,Georgia,13061,15,1
Clayton,Georgia,13063,339,11
Clinch,Georgia,13065,3,0
Cobb,Georgia,13067,705,32
Coffee,Georgia,13069,53,2
Colquitt,Georgia,13071,84,5
Columbia,Georgia,13073,68,0
Cook,Georgia,13075,6,0
Coweta,Georgia,13077,101,2
Crawford,Georgia,13079,3,0
Crisp,Georgia,13081,67,0
Dade,Georgia,13083,2,1
Dawson,Georgia,13085,25,2
Decatur,Georgia,13087,28,0
DeKalb,Georgia,13089,848,14
Dodge,Georgia,13091,11,0
Dooly,Georgia,13093,40,1
Dougherty,Georgia,13095,1102,72
Douglas,Georgia,13097,151,5
Early,Georgia,13099,120,6
Echols,Georgia,13101,2,0
Effingham,Georgia,13103,20,1
